Spingarn Medal 	स्पिनगार्न मेडल 
Corporation Bank 	कॉर्पोरेशन बैंक 
River Phoenix 	रिवर फ़ोनिक्स 
Syed Kirmani 	सय्यद किरमानी 
Souten Ki Beti 	सौतन की बेटी 
Steve Rixon 	स्टीव रिक्सन 
Mera Saya 	मेरा साया 
Bandula Warnapura 	बन्दुला वर्नापुरा 
Order of Maritime Merit 	ऑडर ऑफ मैरीटाइम मेरिट 
Aankhon Annkhon Mein 	आँखों आँखों में 
Santa Maria 	सांता मारिया 
Dakaniya Talav 	डाकनिया तलाव 
Luxembourg City 	लक्ज़ेम्बर्ग सिटी 
Aamer Malik 	आमेर मलिक 
Deogan Road 	देवगन रोड 
Mujahid Jamshed 	मुजाहिद जमशेद 
Suzuki Motor 	सुज़ुकी मोटर 
Shake Hands 	शेक हैंड्‍स 
Agar Tum Na Hote 	अगर तुम न होते 
Roshan Jurangpathy 	रोशन जुरंगपथी 
Jecy James 	जेसी जेम्स 
Age Badho 	आगे बढ़ो 
Asif Mahmood 	आसिफ महमूद 
Beris Dam 	बेरिस डैम 
Saful islam 	सैफुल इस्लाम 
Film Hi Film 	फिल्म ही फिल्म 
Abdul baseer 	अब्दुल बसीर 
Abdus salaam 	अब्दुस सलाम 
Dharam Veer 	धरम वीर 
Paul Vrellis Greek History Museum 	पॉल व्रेलिस ग्रीक ह‍िस्ट्री म्युज़ियम 
Fort worth 	फोर्ट वर्थ 
University of Surrey 	यूनिवर्सिटी ऑफ सरेय 
Lack Walesa 	लॅक वॉलेंसा 
Fort tregantle 	फोर्ट ट्रेगैन्टल 
Shoaib Malik 	शोएब मलिक 
Baba Bulleh Shah 	बाबा बुले शाह 
Sheikh Chilli 	शेख चिल्ली 
Divine Nagar 	डिवाइन नगर 
Anokha Rishta 	अनोखा रिश्ता 
Sainte marie 	सेंट मेरी 
Naseer Malik 	नसीर मलिक 
Pyar Ka Rishta 	प्यार का रिश्ता 
Nafrat Ki Andhi 	नफरत की आँधी 
Doug Walters 	डॉग वाल्टर्स 
Steve Smith 	स्टीव स्मिथ 
Franco-Russian War 	फ्रेंको-रशियन वार 
Chittar Reservoir-2 	चित्तर रिज़रवायर-2 
Indian Bank 	इंडियन बैंक 
Omar Khaiyyam 	ओमर खैय्यम 
Pharmaxis Limited 	फ़ार्माएक्सिस लिमिटेड 
Atrauli Road 	अत्रौली रोड 
Murray Goodwin 	मुर्रे गुडविन 
Dark Street 	डार्क स्ट्रीट 
Deryck Murray 	डेरिक मुर्रे 
Marsabit and Reserve 	मारसाबिट एण्ड रिज़र्व 
Mahindra Ugine 	महिंद्रा युजिन 
Mangalore Chem 	मैंगलोर केमिकल्स 
Cape Cod 	केप कॉड 
Neend Hamari Khwab Tumhare 	नींद हमारी ख्वाब तुम्हारे 
Chandia Road 	चंदिया रोड 
Guiness World of Record Museum 	ग‍िनीज वर्ल्ड ऑफ रेकॉर्ड्स म्युज़ियम 
Vidya Vardhaka Sangha High School, Bangalore 	विद्या वर्धक संघ हाई स्कूल, बैंगलोर 
Rishta Kagaz Ka 	रिश्ता कागज़ का 
Army Public School, New Delhi 	आर्मी पब्‍लिक स्‍कूल, न्यू डेल्ही 
Garhi Manikpur 	गर्ही मानिकपुर 
Adam Dale 	एडम डेल 
Kavli Prize 	कावली प्राइज़ 
Benito Mussolini 	बेनिटो मुसोलिनी 
Federal Express 	फ़ेडेरल एक्सप्रेस 
Templo De Alabanza A Bilingual 	टेम्पलो डे अलबन्ज़ा ए बिलींगुअल 
Dream Girl 	ड्रीम गर्ल 
Miyan Biwi Razi 	मियाँ बीवी राज़ी 
Doctor Shaitan 	डॉक्टर शैतान 
Aakhri Muqabla 	आखिरी मुकाबला 
Jewel Thief 	ज्वेल थीफ 
London Metropolitan University 	लंडन मैट्रोपॉलिटन यूनिवर्सिटी 
Doosri Dulhan 	दूसरी दुल्हन 
Maan Gaye Ustaad 	मान गए उस्ताद 
Aswan Dams 	अस्वान डैम 
Abdul haleem 	अब्दुल हलीम 
Newbery Medal 	न्यूबेरी मेडल 
Neelam Pari 	नीलम परी 
Barya Ram 	बर्या राम 
Centurion Bank 	सेंच्यूरियन बैंक 
Guru Dakshina 	गुरु दक्षिणा 
Order of Saint George 	ऑडर ऑफ सेंट जॉर्ज 
Rangeen Zamana 	रंगीन ज़माना 
Ek Shola 	एक शोला 
Finolex Industries 	फ़िनोलेक्स इंडस्ट्रीज़ 
Northampton University College 	नार्थएंपटन यूनिवर्सिटी कॉलेज 
Bada Aadmi 	बड़ा आदमी 
Apna Khoon Apna Dushman 	अपना खून अपना दुश्मन 
Mervyn Dillon 	मर्विन डिलों 
Moin Khan 	मोइन खान 
Syed Fazl Kareem Quadri 	सय्यद फज़्ल करीम क़ादरी 
Antalya Havalimani 	अंताल्या हावालीमानी 
Hugo Award 	ह्यूगो अवार्ड 
Kasam Paida Karne Wale Ki 	कसम पैदा करने वाले की 
Delhaize Group 	डलहैज़ी ग्रुप 
Barry Hadlee 	बैरी हैडली 
Mehandi Lagi Mere Haath 	मेहँदी लगी मेरे हाथ 
Carl Rogers 	कार्ल रॉगर्स 
Salil Ankola 	सलिल अंकोला 
Somerset Mom 	सोमरसेट मॉम 
John Bradshaw 	जॉन ब्रेडशॉ 
College Girl 	कॉलेज गर्ल 
Al Hilal 	अल हिलाल 
Church of the Open Door 	चर्च ऑफ द ओपन डोर 
Chau Mahla 	चाउ माहला 
Reliance Natura 	रिलायंस नैच्युरा 
Union pipe 	यूनियन पाइप 
Cosmo Oil 	कॉस्मो ऑईल 
Dayton art Institute 	डेटन आर्ट इंस्टीट्‍यूट 
Ek Baar Chale Aao 	एक बार चले आओ 
Rudra Pratap Singh 	रुद्र प्रताप सिंह 
Bonso Electronics International 	बोनसो इलेक्ट्रॉनिक्स इंटरनेशनल 
American Express 	अमेरिकन एक्सप्रेस 
Guj State Petro 	गुजरात स्टेट पेट्रो 
Malcolm Jarvis 	मैल्कम जर्विस 
Meri Asha 	मेरी आशा 
Abdul hadee 	अब्दुल हदी 
Prem Samadhi 	प्रेम समाधि 
Mera Suhag 	मेरा सुहाग 
Kephart United Methodist 	केफार्ट यूनाइटेड मेथोडिस्ट 
Hindustan Petroleum 	हिंदुस्तान पेट्रोलियम 
Goldie Haun 	गोल्डी हॉन 
Palar Porandalar Reservoir 	पालर पोरन्दलर रिज़रवायर 
Chaminda Mendis 	चमिंडा मेंडिस 
Lucil Ball 	ल्युसिल बॉल 
Jin Mao Building 	जिन माओ बिल्डिंग 
Gora Ghuma 	गोरा घुमा 
Arab Ka Saudagar 	अरब का सौदागर 
James Cook University 	जेम्स कुक यूनिवर्सिटी 
Gerald Peckover 	गेराल्ड पेकोवर 
Kiev fortress 	कीव फोर्ट्रेस 
Marathon Oil 	मेराथन ऑइल 
Emily Harris 	एमिली हॅरिस 
Kanoon Apna Apna 	कानून अपना अपना 
Sunil Joshi 	सुनील जोशी 
Mera Salaam 	मेरा सलाम 
Manimuthar Reservoir 	मणिमुथर रिज़रवायर 
Hannan Sarkar 	हन्नान सरकार 
Khoon Pasina 	खून पसीना 
Roop Rupaiya 	रूप रुपैया 
Fort cumberland 	फोर्ट कंबरलैंड 
Ek Kunwari Ek Kunwara 	एक कुँवारी एक कुँवारा 
Mosaddek Hossain 	मोसाद्देक हुसैन 
Lukayan Caverns 	ल्युकायन केवरन्स 
Anmol Moti 	अनमोल मोती 
Texas Health Science Center 	टेक्सास हैल्थ साइंस सेंटर 
Salaam Memsaab 	सलाम मेमसाब 
Do Gulab 	दो गुलाब 
Bank of Plaza 	बैंक ऑफ प्लाज़ा 
Trintech Group 	ट्रिनटेक ग्रुप 
Jhoota Kahin Ka 	झूठा कहीं का 
Bhagwat Chandrashekhar 	भागवत चन्द्रशेखर 
Uttar Kannada 	उत्तर कन्नड़ 
Keith Dabengwa 	कैथ डबेंग्वा 
Quad Rugby 	क्वाड रग्बी 
Shankar Hussain 	शंकर हुसैन 
United States Military Academy 	यूनाइटेड स्टेट्‍स मिलिट्री अकेडमी 
Jataa shankaree 	जटा शंकरी 
Research in Motion Limited 	रिसर्च इन मोशन लिमिटेड 
Param Dharam 	परम धरम 
Janam Janam Ke Phere 	जनम जनम के फेरे 
Aflatoon Aurat 	अफलातून औरत 
Piya Ki Jogan 	पिया की जोगन 
George Van Biesbroeck Prize 	जॉर्ज वैन बिसब्रोएक प्राइज़ 
Ian Redpath 	इआन रेडपाथ 
Ek Phool Ek Bhool 	एक फूल एक भूल 
Gareth Hopkins 	गैरेथ हॉप्किंस 
Apne Apne 	अपने अपने 
Glenn Trimble 	ग्लेन ट्रिंबल 
Wayne Larkins 	वेन लार्किंस 
Lake Manyara 	लेक मन्यारा 
Prashant Vaidya 	प्रशांत वैद्य 
Chanda Aur Bijli 	चंदा और बिजली 
Aji assamese daily 	अज‍ि असमीज डेल्ही 
Ian Botham 	इआन बोथम 
Maan Apmaan 	मान अपमान 
Saleem Pervez 	सलीम परवेज़ 
Arthur conan doyle 	ऑर्थर कानन डोलाय 
Chaminda Vaas 	चमिंडा वास 
Shane Bond 	शेन बॉन्ड 
Mahatma Gandhi 	महात्मा गांधी 
Hunterian Museum and Gallery 	हुंटेरियन म्युज़ियम एण्ड गैलरी 
Aurat Ki Zindagi 	औरत की ज़िंदगी 
Miss Bombay 	मिस बॉम्बे 
Jai Chittod 	जय चित्तौड़ 
Hamari Bahu Alka 	हमारी बहू अल्का 
Gonda Junction 	गोंडा जंक्शन 
Credit Susse 	क्रेडिट सुसे 
Reshmi Rumal 	रेशमी रुमाल 
Major League Lacrosse Offensive player of the Year Award 	मेजर लीग लैक्रोस ओफेंसिव प्लेयर ऑफ द ईयर अवार्ड 
Monica Lewinsky 	मोनिका लुइंस्की 
Tushar Imran 	तुषार इमरान 
Aazadi Ki Ore 	आज़ादी की ओर 
Madura Garments 	मदुरा गारमेंट्स 
Dominion Resources 	डॉमिनियन रिसोर्सेज़ 
Morgan Stanley 	मॉर्गन स्टेनली 
Abdul muhayee 	अब्दुल मुहायी 
Dirt Racing 	डर्ट रेसिंग 
Peter Coman 	पीटर कॉमेन 
Hamari Kismat 	हमारी किस्मत 
Khan Dost 	खान दोस्त 
Lysa hora 	लाइसा होरा 
Compton Crook Award 	कॉम्पटन क्रूक अवार्ड 
Victor Hugo 	विक्टर ह्यूगो 
Bhiwandi Road 	भिवंडी रोड 
Cato Calin 	केटो केलिन 
